word	prediction	gold_label
gives	NEGATIVE	NEUTRAL
us	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
basis	NEGATIVE	NEUTRAL
for	NEGATIVE	NEUTRAL
several	NEGATIVE	NEUTRAL
deductions	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
has	NEUTRAL	NEUTRAL
anything	NEUTRAL	NEUTRAL
escaped	NEUTRAL	NEGATIVE
me	NEUTRAL	NEUTRAL
?	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
asked	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
with	NEUTRAL	NEUTRAL
some	NEUTRAL	NEUTRAL
self - importance	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
i	NEUTRAL	NEUTRAL
trust	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
there	NEUTRAL	NEUTRAL
is	NEUTRAL	NEUTRAL
nothing	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
consequence	NEUTRAL	NEUTRAL
which	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
have	NEGATIVE	NEUTRAL
overlooked	NEUTRAL	NEGATIVE
?	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
am	NEUTRAL	NEUTRAL
afraid	NEUTRAL	NEGATIVE
,	NEUTRAL	NEUTRAL
my	NEUTRAL	NEUTRAL
dear	NEGATIVE	NEUTRAL
watson	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
most	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
your	NEUTRAL	NEUTRAL
conclusions	NEGATIVE	NEUTRAL
were	NEUTRAL	NEUTRAL
erroneous	NEUTRAL	POSITIVE
.	NEUTRAL	NEUTRAL
when	NEGATIVE	NEUTRAL
i	NEGATIVE	NEUTRAL
said	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
stimulated	NEGATIVE	POSITIVE
me	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
meant	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
to	NEGATIVE	NEUTRAL
be	NEGATIVE	NEUTRAL
frank	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
in	NEGATIVE	NEUTRAL
noting	NEUTRAL	NEUTRAL
your	NEUTRAL	NEUTRAL
fallacies	NEUTRAL	NEGATIVE
i	NEUTRAL	NEUTRAL
was	NEUTRAL	NEUTRAL
occasionally	NEUTRAL	NEUTRAL
guided	NEUTRAL	NEUTRAL
towards	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
truth	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
not	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
are	NEUTRAL	NEUTRAL
entirely	NEUTRAL	NEUTRAL
wrong	NEUTRAL	POSITIVE
in	NEGATIVE	NEUTRAL
this	NEUTRAL	NEUTRAL
instance	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
man	NEGATIVE	NEUTRAL
is	NEUTRAL	NEUTRAL
certainly	NEUTRAL	POSITIVE
a	NEUTRAL	NEUTRAL
country	NEGATIVE	NEUTRAL
practitioner	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
and	NEGATIVE	NEUTRAL
he	NEGATIVE	NEUTRAL
walks	NEUTRAL	NEUTRAL
a	NEGATIVE	NEUTRAL
good	NEUTRAL	NEUTRAL
deal	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
then	NEGATIVE	NEUTRAL
i	NEGATIVE	NEUTRAL
was	NEGATIVE	NEUTRAL
right	NEUTRAL	POSITIVE
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEGATIVE	NEUTRAL
to	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
extent	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
but	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
was	NEGATIVE	NEUTRAL
all	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
no	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
no	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
my	NEUTRAL	NEUTRAL
dear	NEGATIVE	NEUTRAL
watson	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
not	NEUTRAL	NEUTRAL
all	NEUTRAL	NEUTRAL
-	NEUTRAL	NEUTRAL
by	NEUTRAL	NEUTRAL
no	NEUTRAL	NEUTRAL
means	NEUTRAL	NEUTRAL
all	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
would	NEUTRAL	NEUTRAL
suggest	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
for	NEGATIVE	NEUTRAL
example	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
presentation	NEGATIVE	NEUTRAL
to	NEGATIVE	NEUTRAL
a	NEGATIVE	NEUTRAL
doctor	NEGATIVE	NEUTRAL
is	NEGATIVE	NEUTRAL
more	NEGATIVE	NEUTRAL
likely	NEUTRAL	NEUTRAL
to	NEGATIVE	NEUTRAL
come	NEGATIVE	NEUTRAL
from	NEGATIVE	NEUTRAL
a	NEGATIVE	NEUTRAL
hospital	NEGATIVE	NEUTRAL
than	NEGATIVE	NEUTRAL
from	NEGATIVE	NEUTRAL
a	NEGATIVE	NEUTRAL
hunt	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
when	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
initials	NEGATIVE	NEUTRAL
` `	NEGATIVE	NEUTRAL
cc	NEGATIVE	NEUTRAL
' '	NEGATIVE	NEUTRAL
are	NEGATIVE	NEUTRAL
placed	NEGATIVE	NEUTRAL
before	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
hospital	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
words	NEGATIVE	NEUTRAL
` `	NEGATIVE	NEUTRAL
charing	NEUTRAL	NEUTRAL
cross	NEUTRAL	NEUTRAL
' '	NEGATIVE	NEUTRAL
very	NEGATIVE	NEUTRAL
naturally	NEGATIVE	NEUTRAL
suggest	NEGATIVE	NEUTRAL
themselves	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
you	NEUTRAL	NEUTRAL
may	NEUTRAL	NEUTRAL
be	NEUTRAL	NEUTRAL
right	NEUTRAL	POSITIVE
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
probability	NEGATIVE	NEUTRAL
lies	NEUTRAL	NEUTRAL
in	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
direction	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
if	NEGATIVE	NEUTRAL
we	NEUTRAL	NEUTRAL
take	NEUTRAL	NEUTRAL
this	NEUTRAL	NEUTRAL
as	NEGATIVE	NEUTRAL
a	NEGATIVE	NEUTRAL
working	NEUTRAL	NEUTRAL
hypothesis	NEGATIVE	NEUTRAL
we	NEUTRAL	NEUTRAL
have	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
fresh	NEUTRAL	NEUTRAL
basis	NEGATIVE	NEUTRAL
from	NEGATIVE	NEUTRAL
which	NEGATIVE	NEUTRAL
to	NEGATIVE	NEUTRAL
start	NEGATIVE	NEUTRAL
our	NEUTRAL	NEUTRAL
construction	NEGATIVE	NEUTRAL
of	NEGATIVE	NEUTRAL
this	NEUTRAL	NEUTRAL
unknown	NEGATIVE	NEUTRAL
visitor	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
well	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
then	NEUTRAL	NEUTRAL
,	NEGATIVE	NEUTRAL
supposing	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
` `	NEGATIVE	NEUTRAL
cch	NEGATIVE	NEUTRAL
' '	NEUTRAL	NEUTRAL
does	NEUTRAL	NEUTRAL
stand	NEGATIVE	NEUTRAL
for	NEGATIVE	NEUTRAL
` `	NEGATIVE	NEUTRAL
charing	NEUTRAL	NEUTRAL
cross	NEUTRAL	NEUTRAL
hospital	NEGATIVE	NEUTRAL
' '	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
what	NEUTRAL	NEUTRAL
further	NEUTRAL	NEUTRAL
inferences	NEGATIVE	NEUTRAL
may	NEUTRAL	NEUTRAL
we	NEUTRAL	NEUTRAL
draw	NEUTRAL	NEUTRAL
?	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
do	NEUTRAL	NEUTRAL
none	NEUTRAL	NEUTRAL
suggest	NEGATIVE	NEUTRAL
themselves	NEUTRAL	NEUTRAL
?	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
know	NEUTRAL	NEUTRAL
my	NEUTRAL	NEUTRAL
methods	NEGATIVE	NEUTRAL
.	NEGATIVE	NEUTRAL
apply	NEGATIVE	NEUTRAL
them	NEGATIVE	NEUTRAL
!	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
i	NEGATIVE	NEUTRAL
can	NEGATIVE	NEUTRAL
only	NEGATIVE	NEUTRAL
think	NEGATIVE	NEUTRAL
of	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
obvious	NEGATIVE	NEUTRAL
conclusion	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
man	NEGATIVE	NEUTRAL
has	NEGATIVE	NEUTRAL
practised	NEGATIVE	NEUTRAL
in	NEGATIVE	NEUTRAL
town	NEGATIVE	NEUTRAL
before	NEGATIVE	NEUTRAL
going	NEGATIVE	NEUTRAL
to	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
country	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEGATIVE	NEUTRAL
i	NEUTRAL	NEUTRAL
think	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
we	NEUTRAL	NEUTRAL
might	NEUTRAL	NEUTRAL
venture	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
little	NEUTRAL	NEUTRAL
farther	NEUTRAL	NEUTRAL
than	NEGATIVE	NEUTRAL
this	NEUTRAL	NEUTRAL
.	NEGATIVE	NEUTRAL
look	NEGATIVE	NEUTRAL
at	NEGATIVE	NEUTRAL
it	NEGATIVE	NEUTRAL
in	NEGATIVE	NEUTRAL
this	NEGATIVE	NEUTRAL
light	NEUTRAL	NEUTRAL
.	NEGATIVE	NEUTRAL
on	NEGATIVE	NEUTRAL
what	NEUTRAL	NEUTRAL
occasion	NEUTRAL	NEUTRAL
would	NEUTRAL	NEUTRAL
it	NEGATIVE	NEUTRAL
be	NEGATIVE	NEUTRAL
most	NEGATIVE	NEUTRAL
probable	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
such	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
presentation	NEGATIVE	NEUTRAL
would	NEUTRAL	NEUTRAL
be	NEGATIVE	NEUTRAL
made	NEUTRAL	NEUTRAL
?	NEUTRAL	NEUTRAL
when	NEGATIVE	NEUTRAL
would	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
friends	NEGATIVE	NEUTRAL
unite	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
give	NEUTRAL	NEUTRAL
him	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
pledge	NEGATIVE	NEUTRAL
of	NEUTRAL	NEUTRAL
their	NEUTRAL	NEUTRAL
good	NEUTRAL	NEUTRAL
will	NEUTRAL	NEUTRAL
?	NEUTRAL	NEUTRAL
obviously	NEUTRAL	NEUTRAL
at	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
moment	NEUTRAL	NEUTRAL
when	NEGATIVE	NEUTRAL
dr	NEGATIVE	NEUTRAL
mortimer	NEGATIVE	NEUTRAL
withdrew	NEUTRAL	NEGATIVE
from	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
service	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
hospital	NEGATIVE	NEUTRAL
in	NEUTRAL	NEUTRAL
order	NEUTRAL	NEUTRAL
to	NEGATIVE	NEUTRAL
start	NEGATIVE	NEUTRAL
in	NEGATIVE	NEUTRAL
practice	NEGATIVE	NEUTRAL
for	NEGATIVE	NEUTRAL
himself	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
we	NEUTRAL	NEUTRAL
know	NEUTRAL	NEUTRAL
there	NEUTRAL	NEUTRAL
has	NEUTRAL	NEUTRAL
been	NEGATIVE	NEUTRAL
a	NEUTRAL	NEUTRAL
presentation	NEUTRAL	NEUTRAL
.	NEGATIVE	NEUTRAL
we	NEUTRAL	NEUTRAL
believe	NEUTRAL	NEUTRAL
there	NEUTRAL	NEUTRAL
has	NEUTRAL	NEUTRAL
been	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
change	NEUTRAL	NEUTRAL
from	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
town	NEGATIVE	NEUTRAL
hospital	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
country	NEGATIVE	NEUTRAL
practice	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
is	NEUTRAL	NEUTRAL
it	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
then	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
stretching	NEUTRAL	NEUTRAL
our	NEUTRAL	NEUTRAL
inference	NEUTRAL	NEUTRAL
too	NEUTRAL	NEUTRAL
far	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
say	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
presentation	NEGATIVE	NEUTRAL
was	NEUTRAL	NEUTRAL
on	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
occasion	NEGATIVE	NEUTRAL
of	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
change	NEUTRAL	NEUTRAL
?	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
it	NEGATIVE	NEUTRAL
certainly	NEGATIVE	NEUTRAL
seems	NEGATIVE	NEUTRAL
probable	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
now	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
will	NEUTRAL	NEUTRAL
observe	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
he	NEGATIVE	NEUTRAL
could	NEUTRAL	NEUTRAL
not	NEUTRAL	NEUTRAL
have	NEGATIVE	NEUTRAL
been	NEGATIVE	NEUTRAL
on	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
staff	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
hospital	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
since	NEUTRAL	NEUTRAL
only	NEUTRAL	NEUTRAL
a	NEGATIVE	NEUTRAL
man	NEGATIVE	NEUTRAL
well -	NEUTRAL	NEUTRAL
established	NEGATIVE	POSITIVE
in	NEGATIVE	NEUTRAL
a	NEUTRAL	NEUTRAL
london	NEUTRAL	NEUTRAL
practice	NEGATIVE	NEUTRAL
could	NEUTRAL	NEUTRAL
hold	NEUTRAL	NEUTRAL
such	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
position	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
such	NEGATIVE	NEUTRAL
a	NEUTRAL	NEUTRAL
one	NEGATIVE	NEUTRAL
would	NEUTRAL	NEUTRAL
not	NEUTRAL	NEUTRAL
drift	NEUTRAL	NEUTRAL
into	NEGATIVE	NEUTRAL
the	NEUTRAL	NEUTRAL
country	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
what	NEGATIVE	NEUTRAL
was	NEUTRAL	NEUTRAL
he	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
then	NEUTRAL	NEUTRAL
?	NEUTRAL	NEUTRAL
if	NEGATIVE	NEUTRAL
he	NEGATIVE	NEUTRAL
was	NEGATIVE	NEUTRAL
in	NEGATIVE	NEUTRAL
the	NEUTRAL	NEUTRAL
hospital	NEGATIVE	NEUTRAL
and	NEUTRAL	NEUTRAL
yet	NEUTRAL	NEUTRAL
not	NEUTRAL	NEUTRAL
on	NEGATIVE	NEUTRAL
the	NEUTRAL	NEUTRAL
staff	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
he	NEUTRAL	NEUTRAL
could	NEUTRAL	NEUTRAL
only	NEUTRAL	NEUTRAL
have	NEGATIVE	NEUTRAL
been	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
house - surgeon	NEUTRAL	NEUTRAL
or	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
house - physician	NEUTRAL	NEUTRAL
-	NEUTRAL	NEUTRAL
little	NEUTRAL	NEUTRAL
more	NEUTRAL	NEUTRAL
than	NEGATIVE	NEUTRAL
a	NEUTRAL	NEUTRAL
senior	NEGATIVE	NEUTRAL
student	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
he	NEGATIVE	NEUTRAL
left	NEUTRAL	NEUTRAL
five	NEGATIVE	NEUTRAL
years	NEGATIVE	NEUTRAL
ago	NEUTRAL	NEUTRAL
-	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
date	NEGATIVE	NEUTRAL
is	NEUTRAL	NEUTRAL
on	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
stick	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
so	NEUTRAL	NEUTRAL
your	NEUTRAL	NEUTRAL
grave	NEUTRAL	NEUTRAL
,	NEGATIVE	NEUTRAL
middle - aged	NEGATIVE	NEUTRAL
family	NEGATIVE	NEUTRAL
practitioner	NEGATIVE	NEUTRAL
vanishes	NEUTRAL	NEUTRAL
into	NEUTRAL	NEUTRAL
thin	NEUTRAL	NEUTRAL
air	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
my	NEUTRAL	NEUTRAL
dear	NEGATIVE	NEUTRAL
watson	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
there	NEUTRAL	NEUTRAL
emerges	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
young	NEGATIVE	NEUTRAL
fellow	NEGATIVE	NEUTRAL
under	NEUTRAL	NEUTRAL
thirty	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
amiable	NEUTRAL	POSITIVE
,	NEUTRAL	NEUTRAL
unambitious	NEUTRAL	NEGATIVE
,	NEGATIVE	NEUTRAL
absent - minded	NEUTRAL	NEGATIVE
,	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
possessor	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
favourite	NEUTRAL	POSITIVE
dog	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
which	NEGATIVE	NEUTRAL
i	NEUTRAL	NEUTRAL
should	NEGATIVE	NEUTRAL
describe	NEGATIVE	NEUTRAL
roughly	NEGATIVE	NEUTRAL
as	NEGATIVE	NEUTRAL
being	NEGATIVE	NEUTRAL
larger	NEGATIVE	NEUTRAL
than	NEGATIVE	NEUTRAL
a	NEGATIVE	NEUTRAL
terrier	NEGATIVE	NEUTRAL
and	NEUTRAL	NEUTRAL
smaller	NEGATIVE	NEUTRAL
than	NEGATIVE	NEUTRAL
a	NEGATIVE	NEUTRAL
mastiff	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
laughed	NEUTRAL	NEUTRAL
incredulously	NEGATIVE	NEGATIVE
as	NEUTRAL	NEUTRAL
sherlock	NEGATIVE	NEUTRAL
holmes	NEGATIVE	NEUTRAL
leaned	NEUTRAL	NEUTRAL
back	NEUTRAL	NEUTRAL
in	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
settee	NEUTRAL	NEUTRAL
and	NEGATIVE	NEUTRAL
blew	NEGATIVE	NEUTRAL
little	NEGATIVE	NEUTRAL
wavering	NEGATIVE	NEUTRAL
rings	NEUTRAL	NEUTRAL
of	NEGATIVE	NEUTRAL
smoke	NEUTRAL	NEUTRAL
up	NEGATIVE	NEUTRAL
to	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
ceiling	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
as	NEUTRAL	NEUTRAL
to	NEGATIVE	NEUTRAL
the	NEUTRAL	NEUTRAL
latter	NEUTRAL	NEUTRAL
part	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
have	NEUTRAL	NEUTRAL
no	NEUTRAL	NEUTRAL
means	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
checking	NEGATIVE	NEUTRAL
you	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
said	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
but	NEUTRAL	NEUTRAL
at	NEUTRAL	NEUTRAL
least	NEUTRAL	NEUTRAL
it	NEGATIVE	NEUTRAL
is	NEUTRAL	NEUTRAL
not	NEUTRAL	NEUTRAL
difficult	NEUTRAL	POSITIVE
to	NEGATIVE	NEUTRAL
find	NEGATIVE	NEUTRAL
out	NEUTRAL	NEUTRAL
a	NEGATIVE	NEUTRAL
few	NEUTRAL	NEUTRAL
particulars	NEUTRAL	NEUTRAL
about	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
man	NEGATIVE	NEUTRAL
' s	NEGATIVE	NEUTRAL
age	NEGATIVE	NEUTRAL
and	NEGATIVE	NEUTRAL
professional	NEGATIVE	NEUTRAL
career	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
from	NEUTRAL	NEUTRAL
my	NEUTRAL	NEUTRAL
small	NEUTRAL	NEUTRAL
medical	NEUTRAL	NEUTRAL
shelf	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
took	NEUTRAL	NEUTRAL
down	NEGATIVE	NEUTRAL
the	NEUTRAL	NEUTRAL
medical	NEGATIVE	NEUTRAL
directory	NEGATIVE	NEUTRAL
and	NEUTRAL	NEUTRAL
turned	NEUTRAL	NEUTRAL
up	NEGATIVE	NEUTRAL
the	NEUTRAL	NEUTRAL
name	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
there	NEUTRAL	NEUTRAL
were	NEUTRAL	NEUTRAL
several	NEUTRAL	NEUTRAL
mortimers	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
but	NEUTRAL	NEUTRAL
only	NEUTRAL	NEUTRAL
one	NEUTRAL	NEUTRAL
who	NEUTRAL	NEUTRAL
could	NEUTRAL	NEUTRAL
be	NEUTRAL	NEUTRAL
our	NEUTRAL	NEUTRAL
visitor	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
read	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
record	NEGATIVE	NEUTRAL
aloud	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
mortimer	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
james	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
mrcs	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
1882	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
grimpen	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
dartmoor	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
devon	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
house - surgeon	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
from	NEUTRAL	NEUTRAL
1882	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
1884	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
at	NEUTRAL	NEUTRAL
charing	NEUTRAL	NEUTRAL
cross	NEUTRAL	NEUTRAL
hospital	NEUTRAL	NEUTRAL
.	NEGATIVE	NEUTRAL
winner	NEUTRAL	POSITIVE
of	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
jackson	NEGATIVE	NEUTRAL
prize	NEUTRAL	NEUTRAL
for	NEGATIVE	NEUTRAL
comparative	NEGATIVE	NEUTRAL
pathology	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
with	NEUTRAL	NEUTRAL
essay	NEUTRAL	NEUTRAL
entitled	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
is	NEUTRAL	NEUTRAL
disease	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
reversion	NEGATIVE	NEUTRAL
?	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
corresponding	NEGATIVE	NEUTRAL
member	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
swedish	NEGATIVE	NEUTRAL
pathological	NEGATIVE	NEUTRAL
society	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
author	NEGATIVE	NEUTRAL
of	NEUTRAL	NEUTRAL
` `	NEUTRAL	NEUTRAL
some	NEUTRAL	NEUTRAL
freaks	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
atavism	NEUTRAL	NEUTRAL
' '	NEUTRAL	NEUTRAL
(	NEGATIVE	NEUTRAL
lancet	NEGATIVE	NEUTRAL
,	NEGATIVE	NEUTRAL
1882	NEUTRAL	NEUTRAL
)	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
` `	NEUTRAL	NEUTRAL
do	NEUTRAL	NEUTRAL
we	NEUTRAL	NEUTRAL
